school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
8451,Coonamble High School,2829,Coonamble ,Wagga Wagga,Western Plains,Supporting students with mild intellectual disability (IM)
8455,Oxley High School,2340,North Tamworth,Tamworth,Peel,Supporting students with mental health issues (ED Emotional Disturbance)
8455,Oxley High School,2340,North Tamworth,Tamworth,Peel,Supporting students with mild intellectual disability (IM)
8455,Oxley High School,2340,North Tamworth,Tamworth,Peel,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8455,Oxley High School,2340,North Tamworth,Tamworth,Peel,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8458,Kingswood High School,2747,Kingswood ,Macquarie Park,Penrith,Supporting students with mild intellectual disability (IM)
8458,Kingswood High School,2747,Kingswood ,Macquarie Park,Penrith,Supporting students with moderate intellectual disability (IO)
8460,James Busby High School,2168,Green Valley ,Ultimo,Liverpool,Supporting students with autism (Au)
8460,James Busby High School,2168,Green Valley ,Ultimo,Liverpool,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8460,James Busby High School,2168,Green Valley ,Ultimo,Liverpool,Supporting students with mild intellectual disability (IM)
8467,Henry Kendall High School,2250,Gosford ,Macquarie Park,Mooney Mooney,Supporting students with autism (Au)
8467,Henry Kendall High School,2250,Gosford ,Macquarie Park,Mooney Mooney,Supporting students with physical disability (P)
8467,Henry Kendall High School,2250,Gosford ,Macquarie Park,Mooney Mooney,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8467,Henry Kendall High School,2250,Gosford ,Macquarie Park,Mooney Mooney,Supporting students with mild intellectual disability (IM)
8467,Henry Kendall High School,2250,Gosford ,Macquarie Park,Mooney Mooney,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8469,Orara High School,2450,Coffs Harbour ,Tamworth,Coffs Harbour,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8469,Orara High School,2450,Coffs Harbour ,Tamworth,Coffs Harbour,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8474,Lake Illawarra High School,2528,Lake Illawarra ,Wagga Wagga,Lake Illawarra South,Supporting students with autism (Au)
8474,Lake Illawarra High School,2528,Lake Illawarra ,Wagga Wagga,Lake Illawarra South,Supporting students with mental health issues (ED Emotional Disturbance)
8474,Lake Illawarra High School,2528,Lake Illawarra ,Wagga Wagga,Lake Illawarra South,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8474,Lake Illawarra High School,2528,Lake Illawarra ,Wagga Wagga,Lake Illawarra South,Supporting students with mild intellectual disability (IM)
8475,Walgett Community College - High School,2832,Walgett ,Wagga Wagga,Western Plains,Supporting students with behavioural issues (BD)
8475,Walgett Community College - High School,2832,Walgett ,Wagga Wagga,Western Plains,Supporting students with mild intellectual disability (IM)
8476,Casula High School,2170,Casula ,Ultimo,Glenfield,Supporting students with mild intellectual disability (IM)
8476,Casula High School,2170,Casula ,Ultimo,Glenfield,Supporting students with autism (Au)
8476,Casula High School,2170,Casula ,Ultimo,Glenfield,Supporting students with moderate intellectual disability (IO)
8483,Kooringal High School,2650,Kooringal,Wagga Wagga,Wagga Wagga,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8483,Kooringal High School,2650,Kooringal,Wagga Wagga,Wagga Wagga,Supporting students with moderate intellectual disability (IO)
8484,Sydney Secondary College Balmain Campus,2039,Rozelle ,Ultimo,Iron Cove,Supporting students with autism (Au)
8484,Sydney Secondary College Balmain Campus,2039,Rozelle ,Ultimo,Iron Cove,Supporting students with mental health issues (ED Emotional Disturbance)
8484,Sydney Secondary College Balmain Campus,2039,Rozelle ,Ultimo,Iron Cove,Supporting students with physical disability (P)
8487,Eden Marine High School,2551,Eden ,Wagga Wagga,Eden-Monaro,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8487,Eden Marine High School,2551,Eden ,Wagga Wagga,Eden-Monaro,Supporting students with mental health issues (ED Emotional Disturbance)
8489,Kanahooka High School,2530,Kanahooka ,Wagga Wagga,Lake Illawarra North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8489,Kanahooka High School,2530,Kanahooka ,Wagga Wagga,Lake Illawarra North,Supporting students with mental health issues (ED Emotional Disturbance)
8489,Kanahooka High School,2530,Kanahooka ,Wagga Wagga,Lake Illawarra North,Supporting students with mild intellectual disability (IM)
8489,Kanahooka High School,2530,Kanahooka ,Wagga Wagga,Lake Illawarra North,Supporting students with moderate intellectual disability (IO)
8498,Muirfield High School,2151,North Rocks,Macquarie Park,Carlingford,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8498,Muirfield High School,2151,North Rocks,Macquarie Park,Carlingford,Supporting students with mental health issues (ED Emotional Disturbance)
8499,Model Farms High School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with moderate intellectual disability (IO)
8499,Model Farms High School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with autism (Au)
8503,Billabong High School,2660,Culcairn ,Wagga Wagga,Hume,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8514,Plumpton High School,2761,Plumpton ,Macquarie Park,Eastern Creek,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8515,Gorokan High School,2263,Lake Haven,Macquarie Park,Tuggerah Lakes,Supporting students with behavioural issues (BD)
8515,Gorokan High School,2263,Lake Haven,Macquarie Park,Tuggerah Lakes,Supporting students with mild intellectual disability (IM)
8515,Gorokan High School,2263,Lake Haven,Macquarie Park,Tuggerah Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8528,Chifley College Bidwill Campus,2770,Bidwill ,Macquarie Park,Mount Druitt,Supporting students with moderate intellectual disability (IO)
8528,Chifley College Bidwill Campus,2770,Bidwill ,Macquarie Park,Mount Druitt,Supporting students with mild intellectual disability (IM)
8532,Leumeah High School,2560,Leumeah ,Ultimo,St Andrews,Supporting students with autism (Au)
8532,Leumeah High School,2560,Leumeah ,Ultimo,St Andrews,Supporting students with mental health issues (ED Emotional Disturbance)
8536,Narooma High School,2546,Narooma ,Wagga Wagga,Batemans Bay,Supporting students with autism (Au)
8536,Narooma High School,2546,Narooma ,Wagga Wagga,Batemans Bay,Supporting students with mental health issues (ED Emotional Disturbance)
8536,Narooma High School,2546,Narooma ,Wagga Wagga,Batemans Bay,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8546,Gulgong High School,2852,Gulgong,Wagga Wagga,Mudgee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8547,Northlakes High School,2262,San Remo ,Macquarie Park,Tuggerah Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8547,Northlakes High School,2262,San Remo ,Macquarie Park,Tuggerah Lakes,Supporting students with mental health issues (ED Emotional Disturbance)
8547,Northlakes High School,2262,San Remo ,Macquarie Park,Tuggerah Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8547,Northlakes High School,2262,San Remo ,Macquarie Park,Tuggerah Lakes,Supporting students with mild intellectual disability (IM)
8552,Crestwood High School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with autism (Au)
8552,Crestwood High School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with physical disability (P)
8552,Crestwood High School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with moderate intellectual disability (IO)
8560,Prairiewood High School,2176,Prairiewood,Ultimo,Cowpasture,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8560,Prairiewood High School,2176,Prairiewood,Ultimo,Cowpasture,Supporting students with moderate intellectual disability (IO)
8563,Tuggerah Lakes Secondary College Berkeley Vale Campus,2261,Berkeley Vale,Macquarie Park,Tuggerah Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8563,Tuggerah Lakes Secondary College Berkeley Vale Campus,2261,Berkeley Vale,Macquarie Park,Tuggerah Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8570,Ambarvale High School,2560,Rosemeadow ,Ultimo,Camden,Supporting students with mild intellectual disability (IM)
8570,Ambarvale High School,2560,Rosemeadow ,Ultimo,Camden,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8570,Ambarvale High School,2560,Rosemeadow ,Ultimo,Camden,Supporting students with moderate intellectual disability (IO)
8575,Robert Townson High School,2566,Raby ,Ultimo,St Andrews,Supporting students who are deaf or hearing impaired (H)
8579,Kingscliff High School,2487,Kingscliff ,Tamworth,Tweed Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8579,Kingscliff High School,2487,Kingscliff ,Tamworth,Tweed Coast,Supporting students with mild intellectual disability (IM)
8580,Cranebrook High School,2749,Cranebrook,Macquarie Park,Cambridge Park,Supporting students with mental health issues (ED Emotional Disturbance)
8580,Cranebrook High School,2749,Cranebrook,Macquarie Park,Cambridge Park,Supporting students with physical disability (P)
8580,Cranebrook High School,2749,Cranebrook,Macquarie Park,Cambridge Park,Supporting students with mild intellectual disability (IM)
8581,Batemans Bay High School,2536,Batehaven ,Wagga Wagga,Batemans Bay,Supporting students with mental health issues (ED Emotional Disturbance)
8581,Batemans Bay High School,2536,Batehaven ,Wagga Wagga,Batemans Bay,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8581,Batemans Bay High School,2536,Batehaven ,Wagga Wagga,Batemans Bay,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8586,Albion Park High School,2527,Albion Park ,Wagga Wagga,Lake Illawarra South,Supporting students with mental health issues (ED Emotional Disturbance)
8586,Albion Park High School,2527,Albion Park ,Wagga Wagga,Lake Illawarra South,Supporting students with mild intellectual disability (IM)
8586,Albion Park High School,2527,Albion Park ,Wagga Wagga,Lake Illawarra South,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8591,Narara Valley High School,2250,Narara ,Macquarie Park,Central Coast,Supporting students with mild intellectual disability (IM)
8591,Narara Valley High School,2250,Narara ,Macquarie Park,Central Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8591,Narara Valley High School,2250,Narara ,Macquarie Park,Central Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8594,Quakers Hill High School,2763,Quakers Hill,Macquarie Park,Quakers Hill,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8594,Quakers Hill High School,2763,Quakers Hill,Macquarie Park,Quakers Hill,Supporting students with autism (Au)
